Timecode,BlendShapeCount,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight,mouthUpperUpLeft,browDownRight,browDownLeft,browInnerUp,browOuterUpRight,browOuterUpLeft,cheekPuff,cheekSquintRight,cheekSquintLeft,noseSneerRight,noseSneerLeft,tongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
100:44:50:21.942,61,0.0979320109,0.3887801766,0.1030786708,0.0000000000,0.0000000000,0.0503266156,0.0000000000,0.0976328999,0.3893301189,0.0153576909,0.0000000000,0.0000000000,0.0503239892,0.0000000000,0.0819258094,0.0000000000,0.0085276710,0.0787997544,0.0787997544,0.0756282583,0.1154363155,0.0250667520,0.0000000000,0.0187049620,0.0031057042,0.0000000000,0.0000000000,0.0859153792,0.0878373310,0.1482749283,0.1501600146,0.1508719772,0.0594341680,0.1346329749,0.1797375381,0.0956575051,0.0851834044,0.0966380015,0.0884319395,0.0465110913,0.0421082042,0.0316499397,0.0312336572,0.1029039770,0.0000000000,0.0000000000,0.0646351427,0.0668563098,0.0592010096,0.1050837934,0.1068494096,0.0002545369,0.0230614040,0.3417298198,-0.0122645414,-0.0093372185,0.2378265113,-0.0011155906,0.0626709089,0.2374137342,0.0074771075
100:44:50:22.943,61,0.0980153158,0.3886892498,0.1044512466,0.0000000000,0.0000000000,0.0504408590,0.0000000000,0.0977190137,0.3892618120,0.0140109761,0.0000000000,0.0000000000,0.0504382960,0.0000000000,0.0818692446,0.0000000000,0.0083655203,0.0787983090,0.0787983090,0.0755847469,0.1154842824,0.0249004066,0.0000000000,0.0185985733,0.0032696717,0.0000000000,0.0000000000,0.0859808475,0.0879165977,0.1481958777,0.1500318795,0.1510779411,0.0595232211,0.1344792545,0.1794749647,0.0957209617,0.0852724016,0.0966628864,0.0884657726,0.0463836305,0.0420120396,0.0318599269,0.0314458497,0.1028715223,0.0000000000,0.0000000000,0.0647347718,0.0668151230,0.0591972247,0.1048842967,0.1067090631,0.0002589416,0.0233166907,0.3401482999,-0.0129392128,-0.0085184528,0.2377850860,-0.0010175859,0.0635055527,0.2373560518,0.0075748973
100:44:50:23.943,61,0.0983431786,0.3886008561,0.1045213118,0.0000000000,0.0000000000,0.0505884327,0.0000000000,0.0980501622,0.3891744018,0.0139398985,0.0000000000,0.0000000000,0.0505859144,0.0000000000,0.0822178721,0.0000000000,0.0083837053,0.0790638700,0.0790638700,0.0755924657,0.1158828214,0.0246711168,0.0000000000,0.0142546827,0.0015628561,0.0000000000,0.0000000000,0.0860659555,0.0880244076,0.1482320130,0.1501179188,0.1529625952,0.0598526634,0.1347529739,0.1797889918,0.0960284621,0.0856001377,0.0966611654,0.0884537697,0.0463404879,0.0419826098,0.0323908478,0.0319814011,0.1027786508,0.0000000000,0.0000000000,0.0650482327,0.0668732673,0.0592715144,0.1048175395,0.1066889465,0.0002791038,0.0232838728,0.3390470147,-0.0131739099,-0.0084752571,0.2377317399,-0.0010121963,0.0635482892,0.2373019159,0.0075782537
100:44:50:24.944,61,0.0983490273,0.3883118331,0.1046112627,0.0000000000,0.0000000000,0.0507363714,0.0000000000,0.0980563089,0.3888861537,0.0138617447,0.0000000000,0.0000000000,0.0507338904,0.0000000000,0.0823698565,0.0000000000,0.0084524266,0.0790840164,0.0790840164,0.0754414797,0.1159050465,0.0246429667,0.0000000000,0.0132665010,0.0009907642,0.0000000000,0.0000000000,0.0861653760,0.0881343111,0.1481868476,0.1501336694,0.1536993682,0.0600045994,0.1350485981,0.1800916195,0.0962601528,0.0858140141,0.0965438560,0.0883370638,0.0463174358,0.0419495292,0.0327138081,0.0323051549,0.1027202755,0.0000000000,0.0000000000,0.0651874244,0.0669233799,0.0593241639,0.1047423333,0.1066279039,0.0001939223,0.0231699906,0.3393996358,-0.0128357727,-0.0084277987,0.2375556082,-0.0010057759,0.0636034384,0.2371253669,0.0075791371
100:44:50:25.945,61,0.0981311351,0.3885918856,0.1049505323,0.0000000000,0.0000000000,0.0507957637,0.0000000000,0.0978377983,0.3891722560,0.0135527272,0.0000000000,0.0000000000,0.0507933088,0.0000000000,0.0823844522,0.0000000000,0.0086723240,0.0788291097,0.0788291097,0.0751722008,0.1159286946,0.0246363450,0.0000000000,0.0129628219,0.0004733480,0.0000000000,0.0000000000,0.0861734152,0.0881877914,0.1478129476,0.1499738544,0.1540349275,0.0600025542,0.1355178356,0.1804728508,0.0966484025,0.0861346424,0.0962808952,0.0880778357,0.0462922379,0.0419131704,0.0331227183,0.0327137448,0.1025806367,0.0000000000,0.0000000000,0.0654668286,0.0668724701,0.0592873655,0.1046389416,0.1065381691,0.0002239434,0.0230845083,0.3383860886,-0.0122293495,-0.0082398634,0.2377304435,-0.0009840778,0.0638092607,0.2372958213,0.0076091988
100:44:50:26.945,61,0.0979869291,0.3892785907,0.1051080674,0.0000000000,0.0000000000,0.0507004298,0.0000000000,0.0976975635,0.3898626864,0.0134465024,0.0000000000,0.0000000000,0.0506979339,0.0000000000,0.0823232010,0.0000000000,0.0090122567,0.0785959587,0.0785959587,0.0748846531,0.1159541458,0.0245368946,0.0000000000,0.0130050657,0.0002016756,0.0000000000,0.0000000000,0.0861525387,0.0881944597,0.1473206580,0.1497112811,0.1542232484,0.0599292442,0.1359854937,0.1808930039,0.0969401896,0.0863909945,0.0959636047,0.0877969936,0.0463266559,0.0419296063,0.0334928669,0.0330868140,0.1024556831,0.0000000000,0.0000000000,0.0656233653,0.0667944551,0.0592143685,0.1046076640,0.1065188050,0.0002739149,0.0227523297,0.3380731046,-0.0116639379,-0.0081751421,0.2381522357,-0.0009780969,0.0639039874,0.2377149314,0.0076340884
100:44:50:27.946,61,0.0980818644,0.3897975087,0.1056143269,0.0000000000,0.0000000000,0.0506062247,0.0000000000,0.0977983624,0.3903907537,0.0129640689,0.0000000000,0.0000000000,0.0506037585,0.0000000000,0.0824213624,0.0000000000,0.0090681734,0.0786552653,0.0786552653,0.0748290867,0.1161727309,0.0242896546,0.0000000000,0.0127189877,0.0000038822,0.0000000000,0.0000000000,0.0861049145,0.0881469846,0.1470645368,0.1494800001,0.1543735266,0.0600010641,0.1359966397,0.1808584034,0.0969962925,0.0864994079,0.0959294662,0.0878160968,0.0462714247,0.0418955460,0.0334766544,0.0330768898,0.1024701446,0.0000000000,0.0000000000,0.0658105314,0.0667135194,0.0591679290,0.1044585109,0.1064141095,0.0002865076,0.0218088161,0.3375557363,-0.0121534057,-0.0078817327,0.2384749204,-0.0009442820,0.0642109662,0.2380309999,0.0076810839
100:44:50:28.946,61,0.0982337296,0.3898369074,0.1058036238,0.0000000000,0.0000000000,0.0505241416,0.0000000000,0.0979533866,0.3904334903,0.0127854580,0.0000000000,0.0000000000,0.0505217090,0.0000000000,0.0826225951,0.0000000000,0.0091450727,0.0786860138,0.0786860138,0.0748502240,0.1163499355,0.0240890626,0.0000000000,0.0125947120,0.0000000000,0.0000000000,0.0001427222,0.0861188769,0.0881787911,0.1469026208,0.1493691206,0.1543795317,0.0601201728,0.1359945834,0.1807607710,0.0971340239,0.0866572335,0.0960207358,0.0879359767,0.0462347008,0.0418696180,0.0332524069,0.0328569822,0.1025451645,0.0000000000,0.0000000000,0.0660777837,0.0666808039,0.0591482073,0.1043278873,0.1063250974,0.0003617853,0.0214948244,0.3364510238,-0.0128897615,-0.0077731353,0.2385010570,-0.0009313743,0.0643259883,0.2380548120,0.0076956288
100:44:50:29.947,61,0.0981347263,0.3894479871,0.1061784998,0.0000000000,0.0000000000,0.0505051836,0.0000000000,0.0978582650,0.3900498152,0.0124372588,0.0000000000,0.0000000000,0.0505026802,0.0000000000,0.0829247981,0.0000000000,0.0093440674,0.0788050517,0.0788050517,0.0748081431,0.1164289042,0.0237078890,0.0000000000,0.0124826543,0.0000000000,0.0000000000,0.0002054947,0.0861602426,0.0882558450,0.1466988921,0.1492806077,0.1545797884,0.0603328831,0.1360126138,0.1806891710,0.0972516164,0.0868013576,0.0961030051,0.0880766883,0.0461954065,0.0418485254,0.0333415158,0.0329516716,0.1025140136,0.0000000000,0.0000000000,0.0662330389,0.0667155832,0.0591750070,0.1042289585,0.1062491685,0.0004570342,0.0217806846,0.3362129629,-0.0133032855,-0.0075615123,0.2382667512,-0.0009051189,0.0645545200,0.2378166914,0.0077151903
100:44:50:30.948,61,0.0979747698,0.3893937469,0.1069569960,0.0000000000,0.0000000000,0.0505201183,0.0000000000,0.0977011397,0.3900084496,0.0116867395,0.0000000000,0.0000000000,0.0505174175,0.0000000000,0.0830919147,0.0000000000,0.0097123282,0.0789426342,0.0789426342,0.0747210830,0.1164701506,0.0234258175,0.0000000000,0.0127092646,0.0000000000,0.0000000000,0.0001253993,0.0861863643,0.0883281827,0.1464022845,0.1491480470,0.1549375653,0.0605281517,0.1360495239,0.1806885153,0.0973248258,0.0868962035,0.0961314514,0.0881470740,0.0461917184,0.0418413058,0.0335097983,0.0331223942,0.1024912298,0.0000000000,0.0000000000,0.0662610829,0.0668239370,0.0592358783,0.1042242274,0.1062449217,0.0004421251,0.0223485455,0.3357739747,-0.0141579267,-0.0071052243,0.2382416129,-0.0008504098,0.0650279075,0.2377823293,0.0077706752
100:44:50:31.948,61,0.0980147198,0.3898739815,0.1082660481,0.0000000000,0.0000000000,0.0505004190,0.0000000000,0.0977427289,0.3905111551,0.0103958836,0.0000000000,0.0000000000,0.0504977070,0.0000000000,0.0832946002,0.0000000000,0.0097543541,0.0789766312,0.0789766312,0.0747262165,0.1163743064,0.0232066289,0.0000000000,0.0130115189,0.0002536522,0.0000000000,0.0000000000,0.0862487480,0.0884315148,0.1463326514,0.1491071433,0.1548566520,0.0606878996,0.1358277947,0.1803126186,0.0973738208,0.0869656280,0.0963908583,0.0884185508,0.0461244769,0.0418070480,0.0334593579,0.0330722481,0.1025294811,0.0000000000,0.0000000000,0.0663600042,0.0668818504,0.0592889972,0.1041991785,0.1062779799,0.0004367615,0.0233104769,0.3349050581,-0.0140453512,-0.0063203406,0.2385489196,-0.0007574531,0.0658230186,0.2380734980,0.0078754816
100:44:50:32.949,61,0.0980451927,0.3899339139,0.1085138619,0.0000000000,0.0000000000,0.0505315363,0.0000000000,0.0977763608,0.3905753493,0.0101638371,0.0000000000,0.0000000000,0.0505287088,0.0000000000,0.0835668221,0.0000000000,0.0099863308,0.0791230351,0.0791230351,0.0748957843,0.1163550317,0.0230073165,0.0000000000,0.0134143867,0.0006544136,0.0000000000,0.0000000000,0.0863871500,0.0886023790,0.1463286281,0.1491698325,0.1548487097,0.0608951636,0.1356893331,0.1801435053,0.0974893644,0.0870848075,0.0967359543,0.0887722522,0.0461411923,0.0418235287,0.0339696966,0.0335849822,0.1024105623,0.0000000000,0.0000000000,0.0664188638,0.0670490041,0.0593905635,0.1042685360,0.1063608080,0.0004402797,0.0248526763,0.3349950016,-0.0137966396,-0.0061792545,0.2385881543,-0.0007406677,0.0659735948,0.2381097078,0.0078947227
100:44:50:33.949,61,0.0979579315,0.3900568485,0.1090009809,0.0000000000,0.0000000000,0.0505032986,0.0000000000,0.0976941586,0.3907065094,0.0096845357,0.0000000000,0.0000000000,0.0505004711,0.0000000000,0.0836523175,0.0000000000,0.0101047335,0.0790907964,0.0790907964,0.0749367103,0.1162560210,0.0229047779,0.0000000000,0.0141287502,0.0012737219,0.0000000000,0.0000000000,0.0865238309,0.0887512192,0.1461420953,0.1489892751,0.1548599303,0.0609815270,0.1357050538,0.1801117212,0.0976834744,0.0872714296,0.0968797132,0.0889366195,0.0461786352,0.0418621115,0.0344452262,0.0340623930,0.1022713557,0.0000000000,0.0000000000,0.0665037259,0.0671329498,0.0594548546,0.1043304205,0.1064741984,0.0003558905,0.0248800777,0.3343290389,-0.0141025102,-0.0058878376,0.2386683375,-0.0007059767,0.0662695318,0.2381839454,0.0079326611
100:44:50:34.950,61,0.0979679078,0.3904128075,0.1092260331,0.0000000000,0.0000000000,0.0504673943,0.0000000000,0.0977088287,0.3910669386,0.0094816852,0.0000000000,0.0000000000,0.0504645556,0.0000000000,0.0836549029,0.0000000000,0.0102185663,0.0790218264,0.0790218264,0.0750170648,0.1163458079,0.0226629078,0.0000000000,0.0143457437,0.0015899490,0.0000000000,0.0000000000,0.0864508897,0.0886718184,0.1458857507,0.1487476528,0.1546210647,0.0609475896,0.1355651915,0.1799360812,0.0977425128,0.0873492062,0.0969586372,0.0890946165,0.0461549051,0.0418598205,0.0345070660,0.0341270752,0.1022406444,0.0000000000,0.0000000000,0.0667268038,0.0671375543,0.0594606735,0.1043022648,0.1065000594,0.0003582769,0.0254757889,0.3336598873,-0.0137163755,-0.0057644607,0.2388885170,-0.0006918270,0.0664057955,0.2384009361,0.0079562934
100:44:50:35.951,61,0.0981595367,0.3906598687,0.1088147834,0.0000000000,0.0000000000,0.0505010150,0.0000000000,0.0979037508,0.3913073540,0.0098990034,0.0000000000,0.0000000000,0.0504981652,0.0000000000,0.0838155225,0.0000000000,0.0103271604,0.0791819096,0.0791819096,0.0750910863,0.1164425611,0.0224788729,0.0000000000,0.0143887280,0.0016934185,0.0000000000,0.0000000000,0.0864071697,0.0886175558,0.1458443999,0.1487164646,0.1545156837,0.0610354878,0.1353200972,0.1796382219,0.0977198705,0.0873545930,0.0972078815,0.0893969536,0.0460944474,0.0418149531,0.0349706858,0.0345934704,0.1021013558,0.0000000000,0.0000000000,0.0667990372,0.0672047362,0.0595216304,0.1043273285,0.1065433174,0.0003518232,0.0253221653,0.3335271180,-0.0139042577,-0.0060181376,0.2390353531,-0.0007227205,0.0661553666,0.2385524958,0.0079313535
100:44:50:36.951,61,0.0983316377,0.3909217417,0.1089974642,0.0000000000,0.0000000000,0.0504597798,0.0000000000,0.0980791301,0.3915727735,0.0097191324,0.0000000000,0.0000000000,0.0504569486,0.0000000000,0.0840925872,0.0000000000,0.0103289587,0.0793780908,0.0793780908,0.0750394240,0.1162781939,0.0222501457,0.0000000000,0.0145376781,0.0019857353,0.0000000000,0.0000000000,0.0865391046,0.0887487978,0.1459740996,0.1488500386,0.1545284241,0.0611915179,0.1351946145,0.1794320941,0.0976796895,0.0873594880,0.0974443182,0.0896588340,0.0460627936,0.0418141298,0.0353455581,0.0349726491,0.1020011678,0.0000000000,0.0000000000,0.0666554347,0.0672470331,0.0595723614,0.1043131351,0.1065559462,0.0002728255,0.0240880027,0.3332183063,-0.0140938032,-0.0059087458,0.2391974926,-0.0007100696,0.0662660003,0.2387121022,0.0079499939
100:44:50:37.952,61,0.0984356478,0.3905878365,0.1092419624,0.0000000000,0.0000000000,0.0504618138,0.0000000000,0.0981848687,0.3912423849,0.0094706574,0.0000000000,0.0000000000,0.0504590310,0.0000000000,0.0842374265,0.0000000000,0.0103669222,0.0795134678,0.0795134678,0.0750399604,0.1163604483,0.0220969021,0.0000000000,0.0142598776,0.0016252282,0.0000000000,0.0000000000,0.0865345299,0.0887571275,0.1461142898,0.1490984857,0.1545868814,0.0612698831,0.1351417601,0.1793926954,0.0976472721,0.0873579234,0.0975181535,0.0897521600,0.0459943451,0.0417819917,0.0356217138,0.0352517478,0.1019013822,0.0000000000,0.0000000000,0.0667167082,0.0671862662,0.0595386736,0.1041838378,0.1064497679,0.0002278689,0.0241960622,0.3339560926,-0.0141370306,-0.0057577319,0.2389957309,-0.0006913324,0.0664151981,0.2385078371,0.0079610217
100:44:50:38.953,61,0.0984007418,0.3911016881,0.1098800749,0.0000000000,0.0000000000,0.0503566228,0.0000000000,0.0981538817,0.3917680979,0.0088537689,0.0000000000,0.0000000000,0.0503538027,0.0000000000,0.0841577724,0.0000000000,0.0104750562,0.0796328634,0.0796328634,0.0753405690,0.1163821891,0.0218226369,0.0000000000,0.0151740387,0.0025670216,0.0000000000,0.0000000000,0.0865613446,0.0887934715,0.1461476535,0.1492254436,0.1541136503,0.0611976497,0.1347524524,0.1792208701,0.0974716619,0.0872077197,0.0977153555,0.0900107622,0.0460327789,0.0418565609,0.0358669944,0.0354997516,0.1018255129,0.0000000000,0.0000000000,0.0665690005,0.0671323091,0.0594912544,0.1041115671,0.1064095870,0.0002450346,0.0235693958,0.3351151645,-0.0140112797,-0.0053826221,0.2393169403,-0.0006471697,0.0668023080,0.2388205677,0.0080180587
