Timecode,BlendShapeCount,eyeBlinkRight,eyeLookDownRight,eyeLookInRight,eyeLookOutRight,eyeLookUpRight,eyeSquintRight,eyeWideRight,eyeBlinkLeft,eyeLookDownLeft,eyeLookInLeft,eyeLookOutLeft,eyeLookUpLeft,eyeSquintLeft,eyeWideLeft,jawForward,jawRight,jawLeft,jawOpen,mouthClose,mouthFunnel,mouthPucker,mouthRight,mouthLeft,mouthSmileRight,mouthSmileLeft,mouthFrownRight,mouthFrownLeft,mouthDimpleRight,mouthDimpleLeft,mouthStretchRight,mouthStretchLeft,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthPressRight,mouthPressLeft,mouthLowerDownRight,mouthLowerDownLeft,mouthUpperUpRight,mouthUpperUpLeft,browDownRight,browDownLeft,browInnerUp,browOuterUpRight,browOuterUpLeft,cheekPuff,cheekSquintRight,cheekSquintLeft,noseSneerRight,noseSneerLeft,tongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
101:29:49:59.442,61,0.0086372476,0.3096378148,0.0000000000,0.0115335323,0.0000000000,0.0530825444,0.0046901805,0.0085837496,0.3086316288,0.1300606430,0.0000000000,0.0000000000,0.0530748181,0.0049631828,0.0859152004,0.0010546683,0.0000000000,0.0889968500,0.0889968500,0.0962059349,0.1262433082,0.0408440158,0.0000000000,0.0000000000,0.0000000000,0.0100330226,0.0403874628,0.0677944645,0.0617295615,0.1462218165,0.1371222734,0.1353812069,0.0624835528,0.0945859551,0.1412717402,0.0770786256,0.0718584955,0.1141407266,0.1121819690,0.0361328796,0.0306392293,0.0071897097,0.0069846334,0.1011026576,0.0000000000,0.0000000000,0.1043449640,0.0602609850,0.0548780933,0.0939163864,0.0880854502,0.0004277994,-0.1401679665,0.2641796172,-0.4326600134,-0.0792140216,0.1884330511,-0.0074893995,-0.0070244158,0.1891461909,-0.0006663113
101:29:50:00.443,61,0.0084024128,0.3084427416,0.0000000000,0.0113614555,0.0000000000,0.0534225665,0.0048441980,0.0083490890,0.3074431717,0.1298542321,0.0000000000,0.0000000000,0.0534152053,0.0051145134,0.0857633650,0.0020639105,0.0000000000,0.0892295167,0.0892295167,0.0959226340,0.1263096184,0.0414190143,0.0000000000,0.0000000000,0.0000000000,0.0107227582,0.0408439152,0.0674941763,0.0614277832,0.1465096623,0.1370140612,0.1353005916,0.0624078587,0.0944474041,0.1411533654,0.0767133459,0.0714593977,0.1141484082,0.1121073514,0.0359042846,0.0304145049,0.0101700872,0.0099517219,0.1003584117,0.0000000000,0.0000000000,0.1054211035,0.0601356290,0.0547462068,0.0938959569,0.0879804567,0.0002706881,-0.1389081180,0.2648921013,-0.4309754074,-0.0790900961,0.1877077818,-0.0074487184,-0.0069197733,0.1884161830,-0.0006538368
101:29:50:01.444,61,0.0079269819,0.3084760904,0.0000000000,0.0123043163,0.0000000000,0.0535967648,0.0054728366,0.0078762202,0.3074642718,0.1307727247,0.0000000000,0.0000000000,0.0535897538,0.0057489146,0.0856175199,0.0029602912,0.0000000000,0.0895030349,0.0895030349,0.0955992416,0.1263464689,0.0419262908,0.0000000000,0.0000000000,0.0000000000,0.0110638393,0.0410026349,0.0673112944,0.0612219982,0.1467845440,0.1369057596,0.1351958066,0.0624225885,0.0942353979,0.1408285052,0.0764274150,0.0711231083,0.1143128127,0.1121774763,0.0356749743,0.0301821586,0.0123563092,0.0121213794,0.0996483713,0.0000000000,0.0000000000,0.1059994400,0.0600413382,0.0546342097,0.0939931571,0.0879902095,0.0001740455,-0.1365496963,0.2664544880,-0.4281747043,-0.0796494931,0.1877192110,-0.0075019198,-0.0074940254,0.1884364635,-0.0007081739
101:29:50:02.444,61,0.0073926668,0.3089143932,0.0000000000,0.0125840129,0.0000000000,0.0536281280,0.0069029080,0.0073450510,0.3078976870,0.1310319453,0.0000000000,0.0000000000,0.0536214523,0.0071926638,0.0853432417,0.0039757760,0.0000000000,0.0894598737,0.0894598737,0.0953120738,0.1257500201,0.0422849879,0.0000000000,0.0000000000,0.0000000000,0.0110367825,0.0390742645,0.0672596991,0.0611176379,0.1473342478,0.1369459778,0.1337215453,0.0623148605,0.0938038975,0.1397869140,0.0760870427,0.0707627311,0.1146217287,0.1124356762,0.0354239345,0.0299528670,0.0128158927,0.0125810727,0.0993249714,0.0000000000,0.0000000000,0.1061283872,0.0598652437,0.0544664562,0.0939352214,0.0879318342,0.0001294997,-0.1354722381,0.2677278519,-0.4234178960,-0.0798067153,0.1879834235,-0.0075273858,-0.0076643112,0.1887041777,-0.0007253009
101:29:50:03.445,61,0.0075870748,0.3096770346,0.0000000000,0.0110033918,0.0000000000,0.0537839457,0.0057616453,0.0075334287,0.3086792529,0.1294501424,0.0000000000,0.0000000000,0.0537774973,0.0060087801,0.0853900313,0.0047957040,0.0000000000,0.0897826031,0.0897826031,0.0951981768,0.1256786734,0.0414492376,0.0000000000,0.0000000000,0.0000000000,0.0167278964,0.0389269292,0.0671342686,0.0609988831,0.1479251087,0.1372402608,0.1334045231,0.0623812042,0.0936101004,0.1394655257,0.0757854581,0.0704834759,0.1147748008,0.1126179770,0.0352508426,0.0298335664,0.0133240595,0.0130948126,0.0990873277,0.0000000000,0.0000000000,0.1062672287,0.0597481318,0.0543819629,0.0939809978,0.0880561024,0.0000746028,-0.1343147457,0.2684639990,-0.4163003564,-0.0788421035,0.1884630769,-0.0074553941,-0.0067015328,0.1891702265,-0.0006357647
101:29:50:04.445,61,0.0111504663,0.3189649284,0.0000000000,0.0041017774,0.0000000000,0.0534599051,0.0018254165,0.0109941484,0.3180319369,0.1226549670,0.0000000000,0.0000000000,0.0534537509,0.0021033902,0.0852834061,0.0063593090,0.0000000000,0.0895554423,0.0895554423,0.0950518996,0.1258982867,0.0408092886,0.0000000000,0.0000000000,0.0000000000,0.0190530270,0.0384980850,0.0669891313,0.0608630441,0.1483045667,0.1371895671,0.1331580728,0.0621408522,0.0937543064,0.1395122856,0.0758826435,0.0705713779,0.1146196425,0.1125438884,0.0352017917,0.0298528913,0.0118448939,0.0116763460,0.0991891176,0.0000000000,0.0000000000,0.1186837554,0.0594585575,0.0541782007,0.0939750150,0.0882895812,0.0000651744,-0.1311678439,0.2727276981,-0.4062109888,-0.0746898130,0.1941836774,-0.0072780750,-0.0024977019,0.1948445290,-0.0002441046
101:29:50:05.446,61,0.0208593141,0.3263641596,0.0000000000,0.0014572445,0.0000000000,0.0530050211,0.0000000000,0.0206102841,0.3254473507,0.1200563386,0.0000000000,0.0000000000,0.0529990941,0.0000000000,0.0843853727,0.0071220044,0.0000000000,0.0861822888,0.0861822888,0.0948591605,0.1320703328,0.0400318317,0.0000000000,0.0000000000,0.0000000000,0.0184866469,0.0320024341,0.0668681115,0.0607691333,0.1461233199,0.1342734396,0.1332017928,0.0615934134,0.0966347605,0.1421440840,0.0791937932,0.0733217597,0.1122243553,0.1106991991,0.0353509113,0.0300444681,0.0100831250,0.0099680880,0.0993993804,0.0000000000,0.0000000000,0.1666782796,0.0592411868,0.0540705808,0.0941039398,0.0886901245,0.0002811013,-0.1259736419,0.2790746987,-0.3945693076,-0.0730964988,0.1987152547,-0.0072899819,-0.0008872295,0.1993645281,-0.0000887352
101:29:50:06.447,61,0.0235557742,0.3291858137,0.0011896034,0.0000000000,0.0000000000,0.0525433719,0.0000000000,0.0232720841,0.3282971084,0.1175539121,0.0000000000,0.0000000000,0.0525376499,0.0000000000,0.0837099180,0.0075169476,0.0000000000,0.0846560448,0.0846560448,0.0947396830,0.1347539127,0.0394581631,0.0000000000,0.0000000000,0.0000000000,0.0164421443,0.0292290021,0.0667334497,0.0606949404,0.1451011747,0.1330751032,0.1331620067,0.0610891841,0.0974811167,0.1427123845,0.0806478187,0.0745115429,0.1113798320,0.1100812107,0.0354067162,0.0301534161,0.0093065985,0.0092110271,0.0994199365,0.0000000000,0.0000000000,0.1855375767,0.0590683557,0.0539904758,0.0942404866,0.0890631601,0.0003050846,-0.1216286048,0.2875708640,-0.3793398142,-0.0715687275,0.2004590034,-0.0072005359,0.0007242369,0.2010881752,0.0000730641
101:29:50:07.447,61,0.0234501734,0.3332634270,0.0018192988,0.0000000000,0.0000000000,0.0520470813,0.0000000000,0.0231958721,0.3323723972,0.1170023605,0.0000000000,0.0000000000,0.0520414896,0.0000000000,0.0831746683,0.0075319721,0.0000000000,0.0840091556,0.0840091556,0.0950370729,0.1386234164,0.0381264538,0.0000000000,0.0000000000,0.0000000000,0.0155934868,0.0279352572,0.0665269196,0.0605880395,0.1446600258,0.1327881366,0.1328669786,0.0606271066,0.0977679193,0.1428118348,0.0812827721,0.0750267729,0.1110686213,0.1099175215,0.0354721360,0.0302712042,0.0072690370,0.0072016204,0.0998019874,0.0000000000,0.0000000000,0.1586658210,0.0588908009,0.0538962036,0.0944829956,0.0894573033,0.0003493868,-0.1192317232,0.2939024568,-0.3599582911,-0.0712269470,0.2029481828,-0.0072557144,0.0011075056,0.2035790533,0.0001131234
101:29:50:08.448,61,0.0157657210,0.3368081152,0.0058027981,0.0000000000,0.0000000000,0.0514677279,0.0000000000,0.0157224480,0.3359631300,0.1132037416,0.0000000000,0.0000000000,0.0514623784,0.0000000000,0.0827932507,0.0070286896,0.0000000000,0.0834205151,0.0834205151,0.0949077755,0.1395959258,0.0373729058,0.0000000000,0.0000000000,0.0000000000,0.0117611373,0.0266626682,0.0664789230,0.0606819913,0.1440154016,0.1326580644,0.1327059567,0.0602723137,0.0979994759,0.1428569704,0.0817851946,0.0753926709,0.1107540131,0.1096831635,0.0355760194,0.0304230545,0.0001806244,0.0000993041,0.1005089730,0.0000000000,0.0000000000,0.1526824981,0.0587452911,0.0538404137,0.0946222395,0.0897887051,0.0003900107,-0.1181735247,0.3083802164,-0.3393035233,-0.0689093173,0.2051463276,-0.0070959912,0.0035322150,0.2057441920,0.0003646539
101:29:50:09.449,61,0.0120532326,0.3393454254,0.0100764846,0.0000000000,0.0000000000,0.0508470125,0.0000000000,0.0120603545,0.3385562599,0.1089994088,0.0000000000,0.0000000000,0.0508419164,0.0000000000,0.0838125721,0.0065115965,0.0000000000,0.0832178220,0.0832178220,0.0930437446,0.1300216019,0.0370927863,0.0000000000,0.0000000000,0.0000000000,0.0099889468,0.0265688859,0.0669473931,0.0615231059,0.1439798027,0.1331070960,0.1357111335,0.0606333017,0.0983254984,0.1428637654,0.0823001489,0.0757594705,0.1106856763,0.1094939187,0.0356089845,0.0304803029,0.0000000000,0.0000000000,0.1049774140,0.0302348919,0.0303659774,0.1344352961,0.0585945286,0.0537575260,0.0945047289,0.0898710936,0.0002284592,-0.1134280488,0.3151344657,-0.3190286756,-0.0663464218,0.2067357153,-0.0068851849,0.0061333184,0.2072937042,0.0006379873
101:29:50:10.449,61,0.0102420589,0.3450956643,0.0188097488,0.0000000000,0.0000000000,0.0502187461,0.0016716113,0.0102741765,0.3444249332,0.1001859978,0.0000000000,0.0000000000,0.0502139367,0.0018119588,0.0842847750,0.0063922429,0.0000000000,0.0832954496,0.0832954496,0.0924090222,0.1246584058,0.0397335887,0.0000000000,0.0000000000,0.0000000000,0.0076412209,0.0262769349,0.0671663359,0.0618964545,0.1440334767,0.1332740039,0.1362257004,0.0608959869,0.0980205610,0.1424424946,0.0822333917,0.0755853131,0.1110734120,0.1095316336,0.0357464962,0.0305816829,0.0000000000,0.0000000000,0.1063186675,0.0343224891,0.0345846862,0.1171564311,0.0584837347,0.0536842793,0.0946941301,0.0902458876,0.0002647580,-0.1082403734,0.3186744153,-0.2952412069,-0.0609741956,0.2103314847,-0.0064381687,0.0114476392,0.2108046561,0.0012111096
101:29:50:11.450,61,0.0184226558,0.3474903405,0.0253882464,0.0000000000,0.0000000000,0.0497017093,0.0000000000,0.0181919727,0.3469148278,0.0934990644,0.0000000000,0.0000000000,0.0496970452,0.0000000000,0.0847952068,0.0064433329,0.0000000000,0.0841858387,0.0841858387,0.0926094651,0.1230394095,0.0403718688,0.0000000000,0.0000000000,0.0000000000,0.0072675040,0.0288626365,0.0672123730,0.0621107928,0.1458478272,0.1348947883,0.1363547742,0.0611571148,0.0975767374,0.1417950094,0.0818835273,0.0752113909,0.1126845405,0.1098846495,0.0358219296,0.0306504741,0.0000000000,0.0000000000,0.1070790887,0.0334855281,0.0337657407,0.1114771441,0.0583991408,0.0536257550,0.0948716253,0.0905560628,0.0002205455,-0.0968476310,0.3218258321,-0.2758086622,-0.0569013916,0.2118605077,-0.0060518868,0.0154505195,0.2122655064,0.0016460245
101:29:50:12.450,61,0.0260743443,0.3483314216,0.0361624844,0.0000000000,0.0000000000,0.0492028520,0.0000000000,0.0257257186,0.3478942811,0.0828066915,0.0000000000,0.0000000000,0.0491983891,0.0000000000,0.0856210142,0.0070621548,0.0000000000,0.0847061649,0.0847061649,0.0946603268,0.1257281005,0.0408699363,0.0000000000,0.0000000000,0.0000000000,0.0348947830,0.0496149622,0.0668886751,0.0619182624,0.1477916688,0.1355533004,0.1363948882,0.0613006465,0.0971860960,0.1414310932,0.0814765841,0.0748145506,0.1132867262,0.1100179106,0.0359326564,0.0307912044,0.0000000000,0.0000000000,0.1072177291,0.0265775919,0.0268569570,0.1689666212,0.0581779145,0.0534354895,0.0949840993,0.0908491239,0.0001669718,-0.0889754817,0.3277450204,-0.2573989034,-0.0503932014,0.2124711573,-0.0053749382,0.0220069941,0.2127748877,0.0023502375
101:29:50:13.451,61,0.0400293767,0.3567370474,0.0470446236,0.0000000000,0.0000000000,0.0485880636,0.0000000000,0.0397841372,0.3564589620,0.0718070567,0.0000000000,0.0000000000,0.0485837646,0.0000000000,0.0876489878,0.0071503213,0.0000000000,0.0849026144,0.0849026144,0.0963080376,0.1265101284,0.0407942832,0.0000000000,0.0000000000,0.0000000000,0.0421180390,0.0555362813,0.0665498003,0.0617917888,0.1488727331,0.1371425390,0.1360790431,0.0613305531,0.0971203148,0.1416118294,0.0813000798,0.0745965987,0.1136372760,0.1101628840,0.0362515599,0.0311486833,0.0000000000,0.0000000000,0.1073630825,0.0237321444,0.0240036510,0.1751064956,0.0580078885,0.0532420203,0.0954189971,0.0915760696,0.0001169060,-0.0814440995,0.3318361044,-0.2406072319,-0.0436909646,0.2177134156,-0.0047757039,0.0286241099,0.2179032415,0.0031312592
101:29:50:14.452,61,0.0397085696,0.3534852862,0.0510429069,0.0000000000,0.0000000000,0.0481045507,0.0000000000,0.0394951701,0.3532704413,0.0677555203,0.0000000000,0.0000000000,0.0481004007,0.0000000000,0.0895681605,0.0073499405,0.0000000000,0.0849406943,0.0849406943,0.0969752446,0.1269702315,0.0387584977,0.0000000000,0.0000000000,0.0000000000,0.0496868752,0.0610657819,0.0661523938,0.0615928993,0.1495142281,0.1378703415,0.1364996731,0.0614720061,0.0975402072,0.1441170573,0.0812804252,0.0745880231,0.1130858585,0.1097485796,0.0365880094,0.0315528102,0.0000000000,0.0000000000,0.1072869971,0.0198429953,0.0200656690,0.1803336740,0.0578560233,0.0530966260,0.0958992243,0.0924805030,0.0000474823,-0.0712258816,0.3372543454,-0.2238086164,-0.0412287302,0.2157697827,-0.0044659385,0.0310590900,0.2159143835,0.0033664145
101:29:50:15.452,61,0.0451659597,0.3603833914,0.0615390316,0.0000000000,0.0000000000,0.0475618392,0.0000000000,0.0449410565,0.3603297174,0.0569961630,0.0000000000,0.0000000000,0.0475578122,0.0000000000,0.0901813060,0.0076588532,0.0000000000,0.0837110654,0.0837110654,0.0971052051,0.1269296408,0.0377227068,0.0000000000,0.0000000000,0.0000000000,0.0525156334,0.0627039075,0.0659062117,0.0615654364,0.1497140080,0.1380716413,0.1371506453,0.0613616705,0.1004071981,0.1484420002,0.0820165500,0.0750439316,0.1102165282,0.1078017652,0.0371107496,0.0321273357,0.0000000000,0.0000000000,0.1067434698,0.0122663453,0.0123755485,0.1849536151,0.0578441843,0.0530406050,0.0993494689,0.0983585939,0.0000701959,-0.0678936169,0.3366048932,-0.2093960494,-0.0346762910,0.2200906724,-0.0038318327,0.0374401025,0.2201197445,0.0041378639
